"Car_name","Make","Car_name_link","Battery","Efficiency","Fast_charge","Price","Range","Top_speed","Acceleration","Price_lambda"
"VinFast VF 8 Eco Extended Range","VinFast","https://ev-database.org/car/1807/VinFast-VF-8-Eco-Extended-Range",87.7,206,550,52990,425,200,5.9,1.41363976559904
"Mercedes EQE AMG 43 4MATIC","Mercedes","https://ev-database.org/car/1901/Mercedes-EQE-AMG-43-4MATIC",90.6,195,690,104756,465,210,4.2,1.41388676682495
"Mercedes EQA 300 4MATIC","Mercedes","https://ev-database.org/car/1986/Mercedes-EQA-300-4MATIC",66.5,187,510,53520,355,160,7.7,1.41364429512529
"Citroen e-SpaceTourer M 50 kWh","Citroen","https://ev-database.org/car/1341/Citroen-e-SpaceTourer-M-50-kWh",46.3,250,290,53640,185,130,12.1,1.41364531006365
"Abarth 500e Hatchback","Abarth","https://ev-database.org/car/1903/Abarth-500e-Hatchback",37.8,168,370,37990,225,155,7,1.41346840365267
"Mercedes EQE SUV AMG 53 4MATIC+","Mercedes","https://ev-database.org/car/1764/Mercedes-EQE-SUV-AMG-53-4MATICplus",90.6,221,610,139438,410,240,3.5,1.41395980559543
"Opel Zafira-e Life L 75 kWh","Opel","https://ev-database.org/car/1349/Opel-Zafira-e-Life-L-75-kWh",68,262,280,70075,260,130,13.3,1.41375558545614
"Aiways U6","Aiways","https://ev-database.org/car/1766/Aiways-U6",60,171,430,47588,350,160,7,1.41358874165657
"Toyota PROACE Verso L 75 kWh","Toyota","https://ev-database.org/car/1515/Toyota-PROACE-Verso-L-75-kWh",68,262,280,65385,260,130,13.1,1.41372897274152
"NIO EL6 75 kWh","NIO","https://ev-database.org/car/1921/NIO-EL6-75-kWh",70.5,201,470,65500,350,200,4.5,1.4137296640705
"Opel Combo-e Life 50 kWh","Opel","https://ev-database.org/car/1544/Opel-Combo-e-Life-50-kWh",46.3,226,330,43050,205,135,11.7,1.41353756118747
"Citroen e-Jumpy Combi M 75 kWh","Citroen","https://ev-database.org/car/1597/Citroen-e-Jumpy-Combi-M-75-kWh",68,257,290,57940,265,130,13.3,1.41367929279275
"Mercedes EQE AMG 53 4MATIC+","Mercedes","https://ev-database.org/car/1902/Mercedes-EQE-AMG-53-4MATICplus",90.6,195,690,110706,465,220,3.5,1.41390204990046
"Mercedes eVito Tourer Extra-Long 90 kWh","Mercedes","https://ev-database.org/car/1616/Mercedes-eVito-Tourer-Extra-Long-90-kWh",90,295,310,65140,305,160,12,1.41372749296584
"Porsche Taycan Turbo","Porsche","https://ev-database.org/car/1927/Porsche-Taycan-Turbo",83.7,188,1090,164420,445,260,3.2,1.41399565390244
"Peugeot e-Expert Combi Standard 75 kWh","Peugeot","https://ev-database.org/car/1607/Peugeot-e-Expert-Combi-Standard-75-kWh",68,257,290,57940,265,130,14.3,1.41367929279275
"Peugeot e-Rifter Standard 50 kWh","Peugeot","https://ev-database.org/car/1522/Peugeot-e-Rifter-Standard-50-kWh",46.3,226,330,41240,205,135,11.7,1.41351449029881
"Peugeot e-Traveller Long 75 kWh","Peugeot","https://ev-database.org/car/1354/Peugeot-e-Traveller-Long-75-kWh",68,262,280,60430,260,130,14.3,1.41369706922791
"Genesis GV60 Sport","Genesis","https://ev-database.org/car/1648/Genesis-GV60-Sport",74,195,990,63200,380,200,5.5,1.4137154308786
